Date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WMT,WBA,DIS
2021-03-30,188.3854217529297,141.57566833496094,241.98193359375,119.19158935546875,252.00999450683594,227.32675170898438,101.01652526855469,50.06322479248047,51.559783935546875,61.76100540161133,325.64422607421875,298.6511535644531,214.19564819335938,122.78531646728516,62.06277847290039,160.92434692382812,149.7664337158203,220.07321166992188,70.8541259765625,229.97674560546875,131.9250030517578,131.4722442626953,210.0,150.65708923339844,368.5984191894531,55.30184555053711,210.59063720703125,133.65611267089844,51.003238677978516,185.52999877929688
2021-03-31,186.4884033203125,139.9724578857422,241.0711669921875,121.42828369140625,254.72000122070312,226.1466064453125,99.92939758300781,50.00519943237305,51.13294219970703,61.120548248291016,320.73028564453125,299.0724182128906,213.19386291503906,121.45464324951172,62.28662109375,160.28070068359375,147.58509826660156,219.25152587890625,70.97380828857422,233.8650665283203,131.86544799804688,131.45281982421875,211.8699951171875,147.1065673828125,367.1282043457031,54.886539459228516,210.4217071533203,133.74472045898438,52.85160446166992,184.52000427246094
2021-04-01,186.50775146484375,143.0699920654297,241.4199676513672,122.27326965332031,252.9600067138672,226.99514770507812,100.8448715209961,50.26629638671875,50.938926696777344,61.75144577026367,321.3580322265625,301.5218200683594,212.92868041992188,121.42730712890625,62.8218994140625,158.79833984375,149.01995849609375,220.29818725585938,70.97380828857422,240.39190673828125,131.50823974609375,130.33660888671875,218.72000122070312,147.32176208496094,362.19464111328125,55.02811813354492,215.51998901367188,133.53794860839844,52.70719909667969,188.97000122070312
2021-04-05,188.70480346679688,144.5445098876953,244.18133544921875,125.15613555908203,259.3599853515625,227.9412078857422,99.66238403320312,51.04547119140625,51.22995376586914,61.741886138916016,317.3366394042969,309.01702880859375,215.3545684814453,123.88811492919922,64.75862121582031,159.3834686279297,149.80984497070312,223.8588104248047,70.89095306396484,247.0576171875,134.07826232910156,132.44287109375,220.2899932861328,148.7008819580078,365.2633361816406,55.56612777709961,217.68653869628906,137.28945922851562,54.68070983886719,188.5
2021-04-06,188.57899475097656,144.63357543945312,241.35215759277344,125.46430206298828,255.1699981689453,224.9469757080078,98.77552795410156,50.67536544799805,51.59857940673828,61.75144577026367,320.78912353515625,307.4297790527344,215.2760009765625,122.32959747314453,63.80485916137695,159.34446716308594,148.75665283203125,226.85206604003906,69.7769546508789,245.85739135742188,136.1025390625,132.4914093017578,221.08999633789062,148.42703247070312,359.5304870605469,55.79266357421875,217.29893493652344,137.9491729736328,53.62175369262695,189.72999572753906
2021-04-07,188.6854705810547,145.60340881347656,240.4026336669922,127.14431762695312,252.5800018310547,224.72264099121094,99.35723876953125,50.42213439941406,51.685890197753906,61.1683464050293,320.2889099121094,306.14630126953125,214.5983123779297,122.97669982910156,64.47637939453125,159.5590362548828,151.0873565673828,227.5368194580078,70.08077239990234,247.88088989257812,135.4873046875,132.72438049316406,220.7899932861328,148.95518493652344,360.7836608886719,55.68883514404297,217.9151153564453,137.65379333496094,53.50623321533203,187.55999755859375
2021-04-08,189.43069458007812,145.51434326171875,239.2012176513672,129.5897979736328,254.9499969482422,224.79092407226562,98.24150085449219,50.55848693847656,51.530677795410156,60.40361785888672,324.79095458984375,308.0666198730469,215.93402099609375,123.14988708496094,65.25497436523438,158.9348602294922,151.27267456054688,225.22825622558594,69.50074768066406,251.20382690429688,132.6493682861328,133.2290802001953,224.4499969482422,147.06744384765625,360.0435791015625,54.95232009887695,219.33628845214844,137.56517028808594,52.745704650878906,187.32000732421875
2021-04-09,191.63743591308594,146.24668884277344,241.20681762695312,132.21417236328125,252.36000061035156,225.0542449951172,98.1461410522461,50.733802795410156,51.58888244628906,60.35582733154297,324.4672546386719,312.7695007324219,222.92689514160156,123.7058334350586,66.43257904052734,157.2574462890625,152.4038848876953,226.4314422607422,70.25570678710938,253.7828369140625,134.40570068359375,132.36521911621094,231.27999877929688,148.32919311523438,371.3020324707031,54.84737777709961,221.14503479003906,137.63409423828125,52.15846633911133,187.88999938964844
2021-04-12,191.472900390625,146.0388641357422,241.1971435546875,130.464599609375,249.52000427246094,225.2298126220703,97.05902099609375,50.22734069824219,51.7537956237793,60.9771614074707,325.4775085449219,314.29791259765625,224.51797485351562,122.66683197021484,63.65888214111328,157.63778686523438,152.08206176757812,225.92279052734375,70.17283630371094,253.84234619140625,135.58656311035156,132.89907836914062,228.75999450683594,148.51502990722656,371.2823181152344,54.89508056640625,220.1015167236328,137.65379333496094,52.65906524658203,186.49000549316406
2021-04-13,190.15660095214844,144.47525024414062,242.17568969726562,133.63572692871094,253.27000427246094,223.6887969970703,97.4976806640625,50.314998626708984,51.5015754699707,60.51833724975586,321.3972473144531,313.9158020019531,224.9108123779297,119.55892181396484,63.47396469116211,155.53126525878906,150.2681884765625,226.2749481201172,70.36617279052734,256.4015197753906,132.5104217529297,131.14224243164062,232.0,148.87693786621094,369.52593994140625,54.97140121459961,219.65431213378906,137.2303924560547,52.56279373168945,185.49000549316406
